Date and time (UTC),Rocket,Rocket,Flight number,Launch site,Launch site,LSP,LSP,Year
5 May 20:44,,Progress 42,,Low Earth (Mir),Logistics,27 May 12:27,Successful,1990
5 May 20:44,,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,Final flight of baseline Progress spacecraft,1990
7 May 18:39,Soyuz-U,Soyuz-U,,Plesetsk,Plesetsk,,,1990
7 May 18:39,,,,,,,,1990
7 May 18:39,,Kosmos 2077 (Yantar-4K2),,Low Earth,Reconnaissance,4 July,Successful,1990
9 May 17:50,Scout G-1,Scout G-1,,Vandenberg SLC-5,Vandenberg SLC-5,,,1990
9 May 17:50,,,,,,,,1990
9 May 17:50,,MacSat 1,DARPA,Low Earth,Communications,In orbit,Successful,1990
9 May 17:50,,MacSat 2,DARPA,Low Earth,Communications,In orbit,Successful,1990
15 May 09:55,Soyuz-U,Soyuz-U,,Baikonur,Baikonur,,,1990
15 May 09:55,,,,,,,,1990
15 May 09:55,,Kosmos 2078 (Yantar-1KFT),,Low Earth,Reconnaissance,28 June,Successful,1990
19 May 08:32,Proton-K/DM-2,Proton-K/DM-2,,Baikonur Site 200/40,Baikonur Site 200/40,,,1990
19 May 08:32,,,,,,,,1990
19 May 08:32,,Kosmos 2079 (GLONASS),,Medium Earth,Navigation,In orbit,Operational,1990
19 May 08:32,,Kosmos 2080 (GLONASS),,Medium Earth,Navigation,In orbit,Operational,1990
19 May 08:32,,Kosmos 2081 (GLONASS),,Medium Earth,Navigation,In orbit,Operational,1990
22 May 05:14,Zenit-2,Zenit-2,,Baikonur Site 45/2,Baikonur Site 45/2,,,1990
22 May 05:14,,,,,,,,1990
22 May 05:14,,Kosmos 2082 (Tselina-2),,Low Earth,ELINT,In orbit,Operational,1990
22 May 05:14,,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,First launch from Site 45/2,1990
29 May 07:19,Soyuz-U,Soyuz-U,,Plesetsk Site 43/4,Plesetsk Site 43/4,,,1990
29 May 07:19,,,,,,,,1990
29 May 07:19,,Resurs-F6,,Low Earth,Reconnaissance,14 June,Successful,1990
31 May 10:33,Proton-K,Proton-K,,Baikonur Site 200/39,Baikonur Site 200/39,,,1990
31 May 10:33,,,,,,,,1990
31 May 10:33,,Kristall,,Low Earth (Mir),Mir module,23 March 2001 05:50,Successful,1990
June[edit],June[edit],June[edit],June[edit],June[edit],June[edit],June[edit],June[edit],1990
1 June 21:48,Delta II 6920-10,Delta II 6920-10,,Cape Canaveral LC-17A,Cape Canaveral LC-17A,McDonnell Douglas,McDonnell Douglas,1990
1 June 21:48,,,,,,,,1990
1 June 21:48,,ROSAT,,Low Earth,Astronomy,23 October 2011,Successful,1990
8 June 05:21,Titan IVA (405),Titan IVA (405),,Cape Canaveral LC-41,Cape Canaveral LC-41,Martin Marietta,Martin Marietta,1990
8 June 05:21,,,,,,,,1990
8 June 05:21,,USA-59 (SLDCOM),US Air Force,Low Earth,Communications,In orbit,Operational,1990
8 June 05:21,,USA-60 (NOSS-2),US Navy,Low Earth,Naval Reconnaissance,In orbit,Operational,1990
8 June 05:21,,USA-61 (NOSS-2),US Navy,Low Earth,Naval Reconnaissance,In orbit,Operational,1990
8 June 05:21,,USA-62 (NOSS-2),US Navy,Low Earth,Naval Reconnaissance,In orbit,Operational,1990
12 June 05:52,Delta 4925,Delta 4925,,Cape Canaveral LC-17B,Cape Canaveral LC-17B,McDonnell Douglas,McDonnell Douglas,1990
12 June 05:52,,,,,,,,1990
12 June 05:52,,INSAT 1D,ISRO,Geosynchronous,Communications,In orbit,Successful,1990
12 June 05:52,,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,Final flight of Delta 4925,1990
13 June 01:07,Molniya-M/ML,Molniya-M/ML,,Plesetsk,Plesetsk,,,1990
13 June 01:07,,,,,,,,1990
13 June 01:07,,Molniya 3-47L,,Molniya,Communications,26 February 2006,Successful,1990
19 June 08:45,Soyuz-U,Soyuz-U,,Plesetsk,Plesetsk,,,1990
19 June 08:45,,,,,,,,1990
19 June 08:45,,Kosmos 2083 (Zenit-8),,Low Earth,Reconnaissance,3 July 1990,Successful,1990
20 June 23:36,Proton-K/DM,Proton-K/DM,,Baikonur Site 200/40,Baikonur Site 200/40,,,1990
20 June 23:36,,,,,,,,1990
20 June 23:36,,Gorizont 20,,Geosynchronous,Communications,In orbit,Successful,1990
21 June 20:45,Molniya-M/2BL,Molniya-M/2BL,,Plesetsk Site 43/3,Plesetsk Site 43/3,,,1990
21 June 20:45,,,,,,,,1990
21 June 20:45,,Kosmos 2084 (Oko),,Intended: Molniya Achieved: Low Earth,Early warning,In orbit,Partial Failure,1990
21 June 20:45,,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,Placed in an incorrect orbit and the satellite did not communicate with the ground.,1990
